id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_24h_in_currency,date,change_symbol
hyperliquid,hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,38.41,12826793099,14,38436491104,277394205.0,39.17,35.93,6.9259,6.9259,857958022.0,7.16827,333601832.0,999664043.0,1000000000.0,49.75,-22.77236,2025-07-14T05:06:23.602Z,3.81,908.81086,2024-11-29T09:30:30.871Z,,2025-08-03T19:09:13.460Z,6.925903004521443,03-08-2025,UP
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,0.397438,12431155865,15,19897484402,408865343.0,0.401875,0.363831,9.03637,9.03637,1048404019.0,9.21046,31239125199.10233,50001786892.81653,50001786892.81653,0.875563,-54.60359,2018-01-03T00:00:00.000Z,0.00047612,83381.33685,2015-03-05T00:00:00.000Z,,2025-08-03T19:09:09.037Z,9.036370977227506,03-08-2025,UP
sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,3.44,12074078008,16,34380232487,1110218176.0,3.48,3.29,4.32945,4.32945,517251016.0,4.47572,3511924479.569998,10000000000.0,10000000000.0,5.35,-35.68634,2025-01-04T22:56:18.063Z,0.364846,842.47163,2023-10-19T10:40:30.078Z,,2025-08-03T19:09:08.745Z,4.329454031284772,03-08-2025,UP
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,https://coin-images.coingecko.com/coins/images/30061/large/wbeth-icon.png?1696528983,3754.59,11129191220,17,11129191220,8423563.0,3770.57,3622.73,3.17888,3.17888,366859902.0,3.40874,2964109.670237127,2964109.670237127,,4317.06,-12.97604,2024-12-16T18:47:35.876Z,1501.6,150.19138,2025-04-09T03:57:40.245Z,,2025-08-03T19:09:08.954Z,3.1788825006860986,03-08-2025,UP
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,16.25,11035066168,18,16273509289,344995582.0,16.32,15.53,4.60448,4.60448,519204218.0,4.93734,678099970.4527868,1000000000.0,1000000000.0,52.7,-69.12499,2021-05-10T00:13:57.214Z,0.148183,10879.70787,2017-11-29T00:00:00.000Z,,2025-08-03T19:09:12.402Z,4.604475607733365,03-08-2025,UP
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,541.0,10782004730,19,10782004730,1031365693.0,543.41,517.17,3.26047,3.26047,359773665.0,3.45198,19906368.64665078,19906368.64665078,21000000.0,3785.82,-85.68655,2017-12-20T00:00:00.000Z,76.93,604.33835,2018-12-16T00:00:00.000Z,,2025-08-03T19:09:11.531Z,3.260470201802177,03-08-2025,UP
hedera-hashgraph,hbar,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.247074,10472322951,20,12351571026,409238108.0,0.249533,0.22768,8.51828,8.51828,881462742.0,9.19065,42392675915.68505,50000000000.0,50000000000.0,0.569229,-56.60174,2021-09-15T10:40:28.318Z,0.00986111,2405.14858,2020-01-02T17:30:24.852Z,,2025-08-03T19:09:13.317Z,8.518278770652387,03-08-2025,UP
wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,3744.36,9798116963,21,9798116963,9553871.0,3754.28,3615.41,3.10714,3.10714,279872256.0,2.94038,2614798.173720018,2614798.173720018,,4311.81,-13.12344,2024-12-06T20:32:25.758Z,1505.24,148.86164,2025-04-09T03:45:31.391Z,,2025-08-03T19:09:09.402Z,3.107139442345352,03-08-2025,UP
ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,1.001,9254217259,22,9254217259,1179864302.0,1.002,0.999807,0.00548,0.00548,568776370.0,6.54862,9246116385.759583,9246116385.759583,,1.032,-3.03151,2023-12-20T15:38:34.596Z,0.929486,7.67181,2024-10-04T07:57:15.809Z,,2025-08-03T19:09:12.825Z,0.005475375149719347,03-08-2025,UP
avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,21.41,9044226237,23,9793906282,300682840.0,21.46,20.68,3.12379,3.12379,277022503.0,3.15976,422276596.0335201,457279296.0335201,720000000.0,144.96,-85.21632,2021-11-21T14:18:56.538Z,2.8,665.08807,2020-12-31T13:15:21.540Z,,2025-08-03T19:09:11.108Z,3.1237922897821218,03-08-2025,UP
