number,rank,gainer_rank,loser_rank,name,symbol,current_price,price_change_24h,change_symbol,market_cap,volume_24h,ath,id,image,date,last_updated
75,75,,,Artificial Superintelligence Alliance,FET,0.630146,0.25226,UP,1640671070,72814786.0,3.45,fetch-ai,https://coin-images.coingecko.com/coins/images/5681/large/ASI.png?1719827289,03-08-2025,2025-08-03T14:09:02.770Z
76,76,,,Sei,SEI,0.2763,-1.21144,DOWN,1597529174,136619328.0,1.14,sei-network,https://coin-images.coingecko.com/coins/images/28205/large/Sei_Logo_-_Transparent.png?1696527207,03-08-2025,2025-08-03T14:09:06.407Z
77,77,,,Quant,QNT,109.7,2.09362,UP,1595701564,20500718.0,427.42,quant-network,https://coin-images.coingecko.com/coins/images/3370/large/5ZOu7brX_400x400.jpg?1696504070,03-08-2025,2025-08-03T14:09:05.820Z
78,78,,,Flare,FLR,0.02288125,3.78449,UP,1593975953,14705938.0,0.150073,flare-networks,https://coin-images.coingecko.com/coins/images/28624/large/FLR-icon200x200.png?1696527609,03-08-2025,2025-08-03T14:09:02.768Z
79,79,,,Filecoin,FIL,2.33,0.68076,UP,1592758823,139461978.0,236.84,filecoin,https://coin-images.coingecko.com/coins/images/12817/large/filecoin.png?1696512609,03-08-2025,2025-08-03T14:09:02.781Z
80,80,,,Lombard Staked BTC,LBTC,113906.0,0.53239,UP,1584802067,6204540.0,123777.0,lombard-staked-btc,https://coin-images.coingecko.com/coins/images/39969/large/LBTC_Logo.png?1724959872,03-08-2025,2025-08-03T14:09:07.976Z
81,81,2.0,,SPX6900,SPX,1.67,10.22671,UP,1557615443,80935511.0,2.27,spx6900,https://coin-images.coingecko.com/coins/images/31401/large/centeredcoin_%281%29.png?1737048493,03-08-2025,2025-08-03T14:09:06.537Z
82,82,,,Kelp DAO Restaked ETH,RSETH,3658.93,-0.62868,DOWN,1550860022,981708.0,4216.2,kelp-dao-restaked-eth,https://coin-images.coingecko.com/coins/images/33800/large/Icon___Dark.png?1702991855,03-08-2025,2025-08-03T14:09:06.074Z
83,83,,,XDC Network,XDC,0.091997,-1.79158,DOWN,1493694287,39686954.0,0.192754,xdce-crowd-sale,https://coin-images.coingecko.com/coins/images/2912/large/xdc-icon.png?1696503661,03-08-2025,2025-08-03T14:09:08.006Z
84,84,,,USDtb,USDTB,1.0,0.06737,UP,1437356916,4496080.0,1.018,usdtb,https://coin-images.coingecko.com/coins/images/52804/large/USDtbSmall.png?1734344946,03-08-2025,2025-08-03T14:09:07.297Z
85,85,,,Jupiter,JUP,0.453464,0.74177,UP,1385940283,48146025.0,2.0,jupiter-exchange-solana,https://coin-images.coingecko.com/coins/images/34188/large/jup.png?1704266489,03-08-2025,2025-08-03T14:09:06.156Z
86,86,,,USDT0,USDT0,0.999091,-0.08569,DOWN,1363264328,267622733.0,1.052,usdt0,https://coin-images.coingecko.com/coins/images/53705/large/usdt0.jpg?1737086183,03-08-2025,2025-08-03T14:09:07.758Z
87,87,,,KuCoin,KCS,10.6,0.2736,UP,1350673263,5397938.0,28.83,kucoin-shares,https://coin-images.coingecko.com/coins/images/1047/large/sa9z79.png?1696502152,03-08-2025,2025-08-03T14:09:06.736Z
88,88,,,StakeWise Staked ETH,OSETH,3668.9,-0.64563,DOWN,1318180865,23556.0,4228.59,stakewise-v3-oseth,https://coin-images.coingecko.com/coins/images/33117/large/Frame_27513839.png?1700732599,03-08-2025,2025-08-03T14:09:06.372Z
89,89,,,NEXO,NEXO,1.3,1.00149,UP,1302469365,9880292.0,4.07,nexo,https://coin-images.coingecko.com/coins/images/3695/large/CG-nexo-token-200x200_2x.png?1730414360,03-08-2025,2025-08-03T14:09:09.021Z
