name,symbol,current_price,price_change_24h,change_symbol,market_cap,ath,id,image,date,last_updated,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,price_change_percentage_24h_in_currency
Toncoin,ton,3.66,1.4273,UP,8843764737,8.25,the-open-network,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,03-08-2025,2025-08-03T14:09:07.515Z,24,18800707004,372075290.0,3.73,3.47,1.4273,114373878.0,1.31022,2416378545.235337,5136910172.782824,,-55.65281,2024-06-15T00:36:51.509Z,0.519364,604.75515,2021-09-21T00:33:11.092Z,,1.4273010013134366
Litecoin,ltc,109.14,0.13297,UP,8316033870,410.26,litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,03-08-2025,2025-08-03T14:09:08.232Z,25,8316493273,883821116.0,110.09,104.57,0.13297,25186020.0,0.30378,76140789.48347135,76145058.23347135,84000000.0,-73.36406,2021-05-10T03:13:07.904Z,1.15,9411.88306,2015-01-14T00:00:00.000Z,,0.1329747328941865
LEO Token,leo,8.96,-0.02132,DOWN,8266205275,10.14,leo-token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,03-08-2025,2025-08-03T14:09:07.357Z,26,8823207507,2072338.0,8.97,8.95,-0.02132,-1669512.740556717,-0.02019,923042099.9,985239504.0,,-11.55697,2025-03-10T09:26:43.294Z,0.799859,1020.67201,2019-12-24T15:14:35.376Z,,-0.02132490072222136
WETH,weth,3489.7,-0.48242,DOWN,7923366752,4799.89,weth,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,03-08-2025,2025-08-03T14:09:08.409Z,27,7921137937,490106282.0,3506.61,3374.15,-0.48242,-27862732.9263134,-0.35042,2267983.572038886,2267345.596310268,,-27.27867,2021-11-09T00:00:00.000Z,82.1,4151.40194,2018-12-15T00:00:00.000Z,,-0.482423828330496
USDS,usds,0.999686,0.01872,UP,7639256186,1.057,usds,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,03-08-2025,2025-08-03T14:09:07.887Z,28,7639813399,6962637.0,0.999877,0.999481,0.01872,-21130465.71788025,-0.27584,7641603789.84652,7642161173.978723,,-5.45592,2024-10-29T05:40:51.197Z,0.948265,5.41731,2024-10-03T13:19:28.826Z,,0.01871946381009074
Shiba Inu,shib,1.217e-05,0.39182,UP,7171541317,8.616e-05,shiba-inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,03-08-2025,2025-08-03T14:09:06.663Z,29,7174642157,153966069.0,1.222e-05,1.166e-05,0.39182,43585264.0,0.61147,589246219407646.6,589500998395161.8,,-85.86874,2021-10-28T03:54:55.568Z,5.6366e-11,21600231.18976,2020-11-28T11:26:25.838Z,,0.3918215849871438
Binance Bridged USDT (BNB Smart Chain),bsc-usd,0.999435,-0.08115,DOWN,6778986046,1.05,binance-bridged-usdt-bnb-smart-chain,https://coin-images.coingecko.com/coins/images/35021/large/USDT.png?1707233575,03-08-2025,2025-08-03T14:09:02.301Z,30,6778986046,2244998900.0,1.003,0.997054,-0.08115,-2353010.3601961136,-0.0347,6784993599.453935,6784993599.453935,,-4.95586,2024-08-05T14:21:42.527Z,0.942186,5.91609,2024-12-05T22:30:39.827Z,,-0.08114745941277933
Coinbase Wrapped BTC,cbbtc,113938.0,0.45657,UP,6143933657,123036.0,coinbase-wrapped-btc,https://coin-images.coingecko.com/coins/images/40143/large/cbbtc.webp?1726136727,03-08-2025,2025-08-03T14:09:02.572Z,31,6143933657,324346936.0,114180.0,111930.0,0.45657,25533389.0,0.41732,53924.76777312,53924.76777312,,-7.39568,2025-07-14T07:45:54.294Z,57439.0,98.36174,2024-09-12T14:07:41.775Z,,0.45657067204511864
WhiteBIT Coin,wbt,42.51,0.16449,UP,6126942915,52.27,whitebit,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,03-08-2025,2025-08-03T14:09:07.613Z,32,13737885522,49873429.0,42.63,41.75,0.16449,10061762.0,0.16449,144118517.10815412,323143812.0,400000000.0,-18.6637,2025-06-16T09:30:18.527Z,3.06,1288.55177,2023-02-13T19:01:21.899Z,,0.16449170635585225
Uniswap,uni,9.15,0.91244,UP,5493909492,44.92,uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,03-08-2025,2025-08-03T14:09:08.233Z,33,9149149630,348873850.0,9.18,8.71,0.91244,48832329.0,0.89682,600483073.71,1000000000.0,1000000000.0,-79.63063,2021-05-03T05:25:04.822Z,1.03,788.15617,2020-09-17T01:20:38.214Z,,0.9124445370831392
